FID,CITY_NAME,CITY_ENG,OSTAN_NAME
160,پيربكران,Pirbakran,اصفهان
161,ايمانشهر,Imanshahr,اصفهان
162,فولادشهر,Fuladshahr,اصفهان
163,زيباشهر,Zibashahr,اصفهان
164,ديزيچه,Dizicheh,اصفهان
165,ابريشم,Abrisham,اصفهان
166,مباركه,Mobarakeh,اصفهان
167,كركوند,Karkavand,اصفهان
168,ورنامخواست,Varnamkhast,اصفهان
169,سده لنجان,Sedeh-ye Lenjan,اصفهان
170,زاينده رود,Zayandehrud,اصفهان
171,باغ بهادران,Baghbahadoran,اصفهان
172,چرمهين,Charmahin,اصفهان
173,قهدريجان,Qahdarijan,اصفهان
174,طالخونچه,Talkhuncheh,اصفهان
175,سفيددشت,Sefiddasht,چهارمحال وبختياري
176,فرخ شهر,Farokhshahr,چهارمحال وبختياري
177,گهرو,Gahru,چهارمحال وبختياري
178,شلمزار,Shalamzar,چهارمحال وبختياري
179,هفشجان,Hafshejan,چهارمحال وبختياري
180,باباحيدر,Babaheydar,چهارمحال وبختياري
181,شهركرد,Sahrekord,چهارمحال وبختياري
182,فارسان,Farsan,چهارمحال وبختياري
183,كيان,Kiyan,چهارمحال وبختياري
184,نافچ,Nafch,چهارمحال وبختياري
185,سامان,Saman,چهارمحال وبختياري
186,بن,Ben,چهارمحال وبختياري
187,سودجان,Sudejan,چهارمحال وبختياري
188,چلگرد,Chelgerd,چهارمحال وبختياري
189,قلعه خواجه,Qalehkhajeh,خوزستان
190,ناغان,Naghan,چهارمحال وبختياري
191,دهدز,Dehdez,خوزستان
192,قلعه تل,Qalehtol,خوزستان
193,باغ ملك,Baghmalek,خوزستان
194,رامهرمز,Ramhormoz,خوزستان
195,هفتگل,Haftgel,خوزستان
196,ايذه,Izeh,خوزستان
197,صيدون,Seydun,خوزستان
198,ديشموك,Dishmok,كهگيلويه وبويراحمد
199,قلعه رئيسي,Qalehreesi,كهگيلويه وبويراحمد
200,لردگان,Lordegan,چهارمحال وبختياري
201,زرين شهر,Zarrinshahr,اصفهان
202,چمگردان,Chamgordan,اصفهان
203,اردل,Ardal,چهارمحال وبختياري
204,رامشير,Ramshir,خوزستان
205,اميديه,Omidiyeh,خوزستان
206,هنديجان,Hendijan,خوزستان
207,جايزان,Jayezan,خوزستان
208,آغاجاري,Aghajari,خوزستان
209,ليكك,Likak,كهگيلويه وبويراحمد
210,بندرديلم,Bandar-e Deylam,بوشهر
211,دهدشت,Dehdasht,كهگيلويه وبويراحمد
212,چرام,Choram,كهگيلويه وبويراحمد
213,دوگنبدان,Dogonbadan,كهگيلويه وبويراحمد
214,گراب سفلي,Garab-e Sofla,كهگيلويه وبويراحمد
215,مارگون,Margun,كهگيلويه وبويراحمد
216,سيدان,Seydan,فارس
217,كنارتخته, ,فارس
218,كوار,Kovar,فارس
219,نقنه,Naqneh,چهارمحال وبختياري
220,مادوان,Madavan,كهگيلويه وبويراحمد
221,دژکرد,Dozhkord,فارس
222,بفروئيه,Bafrueeyeh,يزد
223,جوزدان,Juzdan,اصفهان
224,ياسوج,Yasuj,كهگيلويه وبويراحمد
225,شيراز,Shiraz,فارس
226,بوشهر,Bushehr,بوشهر
227,جيرفت,Jiroft,كرمان
228,مردهك,Mardehak,كرمان
229,رودبار,Rudbar,كرمان
230,حاجي آباد,Hajiabad,هرمزگان
231,فارغان,Fareghan,هرمزگان
232,داراب,Darab,فارس
233,جنت شهر,Jannatshahr,فارس
234,شهرپير,Shahr-e Pir,فارس
235,دبيران,Dabiran,فارس
236,حاجي آباد,Hajiabad,فارس
237,هرمز,Hormoz,هرمزگان
238,فين,Fin,هرمزگان
239,لار,Lar,فارس
240,گراش,Gerash,فارس
241,بستك,Bastak,هرمزگان
242,جناح,Jenah,هرمزگان
243,خور,Khor,فارس
244,ميناب,Minab,هرمزگان
245,قلعه گنج,Qalehganj,كرمان
246,كهنوج,Kahnuj,كرمان
247,زيارتعلي,Ziyaratali,هرمزگان
248,منوجان,Manujan,كرمان
249,دهبارز,Dehbarez,هرمزگان
250,نودژ,Nodezh,كرمان
251,فدامي,Fadami,فارس
252,ارزوئيه,Orzueeyeh,كرمان
253,عنبرآباد,Anbarabad,كرمان
254,فارياب,Faryab,كرمان
255,لطيفي,Latifi,فارس
256,رويدر,Ruydar,هرمزگان
257,هشتبندي,Hashtbandi,هرمزگان
258,بيكاه,Bikah,هرمزگان
259,كنگ,Kong,هرمزگان
260,بندرلنگه,Bandar-e Lengeh,هرمزگان
261,بندرچارك,Bandar-e Charak,هرمزگان
262,درگهان,Dargahan,هرمزگان
263,سوزا,Suza,هرمزگان
264,قشم,Qeshm,هرمزگان
265,خمير,Khamir,هرمزگان
266,سيريك,Sirik,هرمزگان
267,بندرجاسك,Bandar-e jask,هرمزگان
268,ابوموسي,Abumusa,هرمزگان
269,بندرعباس,Bandarabbas,هرمزگان
270,محمدآباد,Mohammadabad,كرمان
271,نگور,Negur,سيستان وبلوچستان
272,گلمورتي,Golmorti,سيستان وبلوچستان
273,بنت,Bent,سيستان وبلوچستان
274,فنوج,Fanuj,سيستان وبلوچستان
275,چابهار,Chabahar,سيستان وبلوچستان
276,كنارك,Konarak,سيستان وبلوچستان
277,خاش,Khash,سيستان وبلوچستان
278,نوك آباد,Nukabad,سيستان وبلوچستان
279,ايرانشهر,Iranshahr,سيستان وبلوچستان
280,بمپور,Bampur,سيستان وبلوچستان
281,بزمان,Bazman,سيستان وبلوچستان
282,محمدان,Mohamadan,سيستان وبلوچستان
283,زابلي,Zaboli,سيستان وبلوچستان
284,سوران,Suran,سيستان وبلوچستان
285,سراوان,Saravan,سيستان وبلوچستان
286,جالق,Jalq,سيستان وبلوچستان
287,هيدوج,Hiduj,سيستان وبلوچستان
288,گشت,Gasht,سيستان وبلوچستان
289,محمدي,Mohammadi,سيستان وبلوچستان
290,نيك شهر,Nikshahr,سيستان وبلوچستان
291,قصرقند,Qasreqand,سيستان وبلوچستان
292,سرباز,Sarbaz,سيستان وبلوچستان
293,راسك,Rask,سيستان وبلوچستان
294,اسپكه,Espakeh,سيستان وبلوچستان
295,سيركان,Sirkan,سيستان وبلوچستان
296,پيشين,Pishin,سيستان وبلوچستان
297,بافق,Bafq,يزد
298,پاريز,Pariz,كرمان
299,سيرجان,Sirjan,كرمان
300,بافت,Baft,كرمان
301,رابر,Rabor,كرمان
302,بردسير,Bardsir,كرمان
303,نجف شهر,Najafshahr,كرمان
304,زيدآباد,Zeydabad,كرمان
305,بزنجان,Bezanjan,كرمان
306,نگار,Negar,كرمان
307,مس سرچشمه,Mes-e Sarcheshmeh,كرمان
308,رفسنجان,Rafsanjan,كرمان
309,كشكوئيه,Koshkueeyeh,كرمان
310,زرند,Zarand,كرمان
311,چترود,Chatrud,كرمان
312,زنگي آباد,Zangiabad,كرمان
313,باغين,Baghin,كرمان
314,بهرمان,Bahreman,كرمان
315,اختيارآباد,Ekhtiyarabad,كرمان
316,ريحان,Reyhan,كرمان
317,ني ريز,Neyriz,فارس
318,ايج,Ij,فارس
319,مشكان,Moshkan,فارس
320,ماهان,Mahan,كرمان
321,جوپار,Jupar,كرمان
322,شهداد,Shahdad,كرمان
323,اندوهجرد,Anduhjerd,كرمان
324,نظام شهر,Nezamshahr,كرمان
325,بم,Bam,كرمان
326,بروات,Baravat,كرمان
327,گلزار,Golzar,كرمان
328,راين,Rayen,كرمان
329,درب بهشت,Darb-e Behesht,كرمان
330,گلباف,Golbaf,كرمان
331,مروست,Marvast,يزد
332,هرات,Harat,يزد
333,دهج,Dehaj,كرمان
334,شهربابك,Shahrebabak,كرمان
335,محي آباد,Mohiabad,كرمان
336,نير,Nir,يزد
337,مهريز,Mehriz,يزد
338,تفت,Taft,يزد
339,شاهديه,Shahediyeh,يزد
340,زارچ,Zarch,يزد
341,بهاباد,Bahabad,يزد
342,كوهبنان,Kuhbanan,كرمان
343,كيانشهر,Kiyanshahr,كرمان
344,راور,Ravar,كرمان
345,انار,Anar,كرمان
346,امين شهر,Aminshahr,كرمان
347,يزدان شهر,Yazdanshahr,كرمان
348,خانوك,Khanuk,كرمان
349,كاظم آباد,Kazemabad,كرمان
350,هجدك,Hojadk,كرمان
351,جبالبارز,Jebalbarez,كرمان
352,جوزم,Javazm,كرمان
353,خورسند,Khorsand,كرمان
354,اشكذر,Ashkezar,يزد
355,حميديا,Hamidiya,يزد
356,يزد,Yazd,يزد
357,كرمان,Kerman,كرمان
358,فهرج,Fahraj,كرمان
359,نرماشير,Narmashir,كرمان
360,نهبندان,Nehbandan,خراسان جنوبي
